id,title,artist_title,classification_titles
106561,The Judgment of Paris,Marcantonio Raimondi,engraving;print;prints and drawing
43788,"Dedication, from The Flight into Egypt",Giovanni Domenico Tiepolo,etching;print;prints and drawing
43798,"Joseph Tells Mary of Their Forthcoming Departure, plate four from The Flight into Egypt",Giovanni Domenico Tiepolo,etching;print;prints and drawing
43795,Title Page to The Flight into Egypt,Giovanni Domenico Tiepolo,etching;print;prints and drawing
43791,"Frontispiece: The Arms of Carl Philipp von Greiffenklau Carried Aloft by an Angel, from The Flight into Egypt",Giovanni Domenico Tiepolo,etching;print;prints and drawing
43808,"The Holy Family Leaving by a City Gate, plate seven from The Flight into Egypt",Giovanni Domenico Tiepolo,etching;print;prints and drawing
43805,"The Holy Family Under a Palm Tree, plate six from The Flight into Egypt",Giovanni Domenico Tiepolo,etching;print;prints and drawing
43803,"Joseph and Mary Seeking Shelter, plate five from The Flight into Egypt",Giovanni Domenico Tiepolo,etching;print;prints and drawing
43818,"Mary Holding the Child in Her Arms and Joseph with the Basket, plate ten from The Flight into Egypt",Giovanni Domenico Tiepolo,etching;print;prints and drawing
43814,"Joseph Adoring the Child, who is Held in Mary's Arms, plate nine from The Flight into Egypt",Giovanni Domenico Tiepolo,etching;print;prints and drawing
43812,"The Holy Family Walking Along a City Wall. On the left, a Shepherd with his Flock and God the Father, plate eight from The Flight into Egypt",Giovanni Domenico Tiepolo,etching;print;prints and drawing
43829,"The Rest on the Flight, plate thirteen from The Flight into Egypt",Giovanni Domenico Tiepolo,etching;print;prints and drawing
43826,"Mary and Joseph, Holding the Child, are Escorted by an Angel, plate twelve from The Flight into Egypt",Giovanni Domenico Tiepolo,etching;print;prints and drawing
43823,"Joseph and Mary Passing a Shepherd and His Flock, plate eleven from The Flight into Egypt",Giovanni Domenico Tiepolo,etching;print;prints and drawing
7742,Adoration of the Magi,Giovanni Battista Tiepolo,etching;print;prints and drawing
159743,"Landscape with the Pilgrim at Prayer, from Vedute",Canaletto,etching;print;prints and drawing
159742,"The Equestrian Monument, from Vedute",Canaletto,etching;print;prints and drawing
159741,"The Portico with the Lantern, from Vedute",Canaletto,etching;print;prints and drawing
159745,"Landscape with a Woman at a Well, from Vedute",Canaletto,etching;print;prints and drawing
159744,"Mountain Landscape wih Five Bridges, from Vedute",Canaletto,etching;print;prints and drawing
159748,"The Little Monument, from Vedute",Canaletto,etching;print;prints and drawing
159747,"Imaginary View of Padua, from Vedute",Canaletto,etching;print;prints and drawing
159746,"View of a Town with a Bishop's Tomb, from Vedute",Canaletto,etching;print;prints and drawing
159751,"Landscape with Ruined Monuments, from Vedute",Canaletto,etching;print;prints and drawing
159750,"The Wagon Passing over a Bridge, from Vedute",Canaletto,etching;print;prints and drawing
